marca,modello,descrizione,immagine,prezzo
Apple,iPhone 17 Pro,Display LTPO da 6.3 pollici. Tripla fotocamera da 48MP con zoom periscopico. Schermo ProMotion 120Hz. Peso: 199g. Dimensioni: 146.6 x 70.6 x 8.25 mm.,iphone17pro.jpg,1329
Apple,iPhone 17,Display Super Retina XDR da 6.1 pollici. Fotocamera frontale migliorata da 24MP. Schermo OLED vibrante. Peso: 175g. Dimensioni: 147.6 x 71.6 x 7.8 mm.,iphone17.jpg,979
Apple,iPhone 17e,Display compatto da 5.8 pollici. Fotocamera singola ad alta risoluzione. Schermo LCD avanzato. Peso: 155g. Dimensioni: 138.4 x 67.3 x 7.3 mm.,iphone17e.jpg,649
Apple,iPhone 16 Pro,Display Always-on da 6.3 pollici. Fotocamera ultra-grandangolare da 48MP. Schermo in titanio grado 5. Peso: 199g. Dimensioni: 149.6 x 71.5 x 8.25 mm.,iphone16pro.jpg,1239
Apple,iPhone 16,Display OLED da 6.1 pollici. Nuova fotocamera a disposizione verticale. Schermo Ceramic Shield. Peso: 170g. Dimensioni: 147.6 x 71.6 x 7.8 mm.,iphone16.jpg,929
Apple,iPhone 16e,Display da 6.1 pollici standard. Fotocamera principale da 12MP ottimizzata. Schermo luminoso. Peso: 168g. Dimensioni: 147.6 x 71.6 x 7.8 mm.,iphone16e.jpg,799
Apple,iPhone 15 Pro Max,Display da 6.7 pollici. Fotocamera con Zoom ottico 5x. Schermo ProMotion ultra-fluido. Peso: 221g. Dimensioni: 159.9 x 76.7 x 8.25 mm.,iphone15promax.jpg,1199
Apple,iPhone 15,Display Super Retina XDR da 6.1 pollici. Fotocamera principale da 48MP. Schermo con Dynamic Island. Peso: 171g. Dimensioni: 147.6 x 71.6 x 7.8 mm.,iphone15.jpg,929
Apple,iPhone 14 Pro Max,Display da 6.7 pollici. Fotocamera principale da 48MP. Schermo Always-On. Peso: 240g. Dimensioni: 160.7 x 77.6 x 7.85 mm.,iphone14promax.jpg,1099
Apple,iPhone 14,Display OLED da 6.1 pollici. Doppia fotocamera avanzata. Schermo HDR nitido. Peso: 172g. Dimensioni: 146.7 x 71.5 x 7.65 mm.,iphone14.jpg,729
Samsung,Galaxy S26 Ultra,Display Dynamic AMOLED 3X da 6.9 pollici. Fotocamera da 200MP con AI Pro. Schermo ultra resistente. Peso: 230g. Dimensioni: 162.3 x 79.0 x 8.6 mm.,s26ultra.jpg,1499
Samsung,Galaxy S26,Display AMOLED da 6.3 pollici. Fotocamera principale da 50MP migliorata. Schermo 144Hz. Peso: 165g. Dimensioni: 147.0 x 70.6 x 7.6 mm.,s26.jpg,949
Samsung,Galaxy S25 Ultra,Display da 6.8 pollici Titanium. Fotocamera con zoom 100x migliorato. Schermo antiriflesso. Peso: 219g. Dimensioni: 162.8 x 77.6 x 8.2 mm.,s25ultra.jpg,1399
Samsung,Galaxy S25,Display Dynamic AMOLED 2X da 6.2 pollici. Tripla fotocamera da 50MP. Schermo molto fluido. Peso: 167g. Dimensioni: 147.0 x 70.6 x 7.6 mm.,s25.jpg,929
Samsung,Galaxy S24 Ultra,Display da 6.8 pollici piatto. Fotocamera con Space Zoom. Schermo in Titanio. Peso: 232g. Dimensioni: 162.3 x 79.0 x 8.6 mm.,s24ultra.jpg,1199
Samsung,Galaxy S24,Display Dynamic AMOLED 2X da 6.2 pollici. Tripla fotocamera con AI. Schermo luminosissimo. Peso: 167g. Dimensioni: 147.0 x 70.6 x 7.6 mm.,s24.jpg,899
Samsung,Galaxy A56,Display Super AMOLED da 6.6 pollici. Fotocamera principale da 50MP OIS. Schermo Gorilla Glass Victus. Peso: 205g. Dimensioni: 158.5 x 76.7 x 8.2 mm.,a56.jpg,480
Samsung,Galaxy A36,Display da 6.5 pollici FHD+. Fotocamera tripla versatile. Schermo a 120Hz. Peso: 195g. Dimensioni: 161.7 x 78.0 x 8.2 mm.,a36.jpg,350
Samsung,Galaxy A26,Display da 6.5 pollici. Fotocamera principale da 48MP. Schermo nitido. Peso: 190g. Dimensioni: 160.1 x 76.8 x 8.4 mm.,a26.jpg,280
Samsung,Galaxy A16,Display LCD da 6.7 pollici. Fotocamera base per uso quotidiano. Schermo ampio. Peso: 200g. Dimensioni: 164.4 x 76.3 x 9.1 mm.,a16.jpg,199
